no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1110119,臺南市安南區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
2,毒品,1110131,新北市鶯歌區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0.25
3,毒品,1110103,新北市鶯歌區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
4,毒品,1110110,基隆市暖暖區,公寓(三至五層建築物),    ,    ,3,嗎啡,0
4,毒品,1110110,基隆市暖暖區,公寓(三至五層建築物),    ,    ,3,安非他命,0
5,毒品,1110202,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,2.4
6,毒品,1110201,新北市板橋區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,4.61
7,毒品,1110110,桃園市八德區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
8,毒品,1110219,桃園市八德區,汽車旅館,    ,    ,1,安非他命,0
9,毒品,1110104,花蓮縣秀林鄉,河(中)海(堤)邊,    ,    ,1,安非他命,0
10,毒品,1110131,花蓮縣新城鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.32
11,毒品,1110228,臺北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻（大麻花及大麻葉）,1.4
12,毒品,1110219,臺中市大里區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.25
13,毒品,1110210,屏東縣潮州鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,2.08
14,毒品,1110210,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻（大麻花及大麻葉）,23
14,毒品,1110210,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,287
15,毒品,1110205,臺南市東區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,7.2
15,毒品,1110205,臺南市東區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.72
16,毒品,1110209,屏東縣內埔鄉,家畜(牛羊豬雞鴨等)寮,    ,大廳,1,海洛因,33.92
17,毒品,1110101,臺北市中正區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
18,毒品,1110209,臺中市北屯區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,9.45
19,毒品,1110222,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",3.86
20,毒品,1110204,臺中市北區,公路(省、縣、鄉、鎮道,    ,    ,1,鴉片(阿片),0
20,毒品,1110204,臺中市北區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
21,毒品,1110221,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,海洛因,0
21,毒品,1110221,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,安非他命,0
22,毒品,1110207,彰化縣田中鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.45
23,毒品,1110120,臺中市大安區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
24,毒品,1110128,臺中市大甲區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
25,毒品,1110213,臺北市松山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.23
25,毒品,1110213,臺北市松山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.32
26,毒品,1110218,臺中市東區,大廈(六層以上建築物),    ,    ,1,安非他命,5.76
27,毒品,1110222,臺中市東區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.36
27,毒品,1110222,臺中市東區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.88
28,毒品,1110215,雲林縣斗六市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.25
29,毒品,1110118,雲林縣斗六市,旅社飯店客棧,    ,    ,2,海洛因,375
29,毒品,1110118,雲林縣斗六市,旅社飯店客棧,    ,    ,2,安非他命,1025
30,毒品,1110106,高雄市苓雅區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
31,毒品,1110212,新北市土城區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0.68
32,毒品,1110116,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻（大麻花及大麻葉）,8.91
33,毒品,1110201,宜蘭縣宜蘭市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
34,毒品,1110121,宜蘭縣員山鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
35,毒品,1110131,新北市新莊區,出租公寓（套房）,    ,    ,1,甲基安非他命,0
36,毒品,1110207,嘉義縣民雄鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,3.82
36,毒品,1110207,嘉義縣民雄鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,3.61
37,毒品,1110113,臺中市潭子區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
38,毒品,1110120,桃園市龍潭區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
39,毒品,1110223,臺東縣臺東市,普通住宅(一、二層樓),    ,房間（起居室）,1,甲基安非他命,0.4
40,毒品,1110208,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0
41,毒品,1110101,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
42,毒品,1110125,彰化縣鹿港鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,55.1
43,毒品,1110128,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.4
44,毒品,1110129,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
45,毒品,1110217,臺中市東區,普通住宅(一、二層樓),    ,    ,2,安非他命,1.43
46,毒品,1110124,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),10.08
47,毒品,1110129,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,1.3
48,毒品,1110106,新北市土城區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,鴉片(阿片),0
49,毒品,1110117,臺東縣臺東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
50,毒品,1110217,臺東縣臺東市,普通住宅(一、二層樓),    ,    ,1,安非他命,2.6
51,毒品,1110218,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.18
52,毒品,1110215,彰化縣社頭鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1.15
53,毒品,1110120,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,K(愷)他命(含液態),20.34
53,毒品,1110120,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,4-甲基甲基卡西酮(喵喵),4.24
54,毒品,1110119,臺南市東山區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
55,毒品,1110103,臺南市永康區,工地、工寮,    ,    ,1,安非他命,0
56,毒品,1110216,新北市新莊區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,6.24
57,毒品,1110227,臺南市北區,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
58,毒品,1110110,高雄市新興區,旅社飯店客棧,    ,    ,1,安非他命,0
59,毒品,1110110,高雄市鼓山區,透天厝,    ,    ,1,安非他命,0
60,毒品,1110214,臺中市南區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
61,毒品,1110217,臺南市永康區,透天厝,    ,    ,1,安非他命,0
